Product Type: Litetrack 330 TL
Product ID: 960
Firmware Version: V8.106.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause of Fix
2021-05-27 4:01:10 PM,51.3481452,-114.3702352,0.41,70,15.0,4.8,3,GPS Schedule
2021-05-27 4:05:51 PM,51.3423634,-114.3789837,1278.17,49,16.5,2,5,GPS Schedule
2021-05-27 4:10:04 PM,51.3428220,-114.3792386,1186.13,3,17.0,1.8,5,GPS Schedule
2021-05-27 4:15:03 PM,51.3429919,-114.3792690,1279.85,2,17.0,1.8,5,GPS Schedule
2021-05-27 4:21:10 PM,0.0000000,0.0000000,0.00,70,18.5,0,0,GPS Schedule
2021-05-27 4:26:10 PM,0.0000000,0.0000000,0.00,70,19.0,0,0,GPS Schedule
2021-05-27 4:31:10 PM,0.0000000,0.0000000,0.00,70,19.0,0,0,GPS Schedule
2021-05-27 4:36:10 PM,51.3430721,-114.3766132,1017.88,70,19.5,3.2,4,GPS Schedule
2021-05-27 4:41:10 PM,0.0000000,0.0000000,0.00,70,20.0,0,0,GPS Schedule
2021-05-27 4:46:10 PM,0.0000000,0.0000000,0.00,70,21.0,0,0,GPS Schedule
2021-05-27 4:50:59 PM,51.3428978,-114.3787760,1252.38,57,21.5,2.4,5,GPS Schedule
2021-05-27 4:56:10 PM,0.0000000,0.0000000,0.00,70,21.5,0,0,GPS Schedule
2021-05-27 5:01:10 PM,0.0000000,0.0000000,0.00,70,21.5,0,0,GPS Schedule
2021-05-27 5:06:10 PM,0.0000000,0.0000000,0.00,70,21.5,0,0,GPS Schedule
2021-05-27 5:11:10 PM,0.0000000,0.0000000,0.00,70,21.0,0,0,GPS Schedule
2021-05-27 5:16:10 PM,0.0000000,0.0000000,0.00,70,21.0,0,0,GPS Schedule
2021-05-27 5:21:10 PM,0.0000000,0.0000000,0.00,70,21.5,0,0,GPS Schedule
2021-05-27 5:26:10 PM,0.0000000,0.0000000,0.00,70,22.0,0,0,GPS Schedule
2021-05-27 5:31:10 PM,0.0000000,0.0000000,0.00,70,22.0,0,0,GPS Schedule
2021-05-27 5:36:10 PM,0.0000000,0.0000000,0.00,70,22.5,0,0,GPS Schedule
2021-05-27 5:41:10 PM,0.0000000,0.0000000,0.00,70,22.5,0,0,GPS Schedule
2021-05-27 5:46:10 PM,0.0000000,0.0000000,0.00,70,22.5,0,0,GPS Schedule
2021-05-27 5:51:10 PM,51.3213898,-114.3847249,0.06,70,22.0,9.6,3,GPS Schedule
2021-05-27 5:56:10 PM,51.3428923,-114.3791228,1251.58,70,22.0,2,4,GPS Schedule
2021-05-27 6:01:10 PM,0.0000000,0.0000000,0.00,70,21.5,0,0,GPS Schedule
2021-05-27 6:06:10 PM,0.0000000,0.0000000,0.00,70,21.0,0,0,GPS Schedule
2021-05-27 6:10:52 PM,51.3430549,-114.3791013,1267.84,51,20.0,1.8,5,GPS Schedule
2021-05-27 6:15:19 PM,51.3429328,-114.3788309,1286.39,18,19.0,1.8,5,GPS Schedule
2021-05-27 6:21:10 PM,51.3431328,-114.3789281,1298.04,68,19.5,1.4,5,GPS Schedule
2021-05-27 6:25:17 PM,51.3431170,-114.3789708,1289.21,16,19.5,1.4,5,GPS Schedule
2021-05-27 6:30:08 PM,51.3431735,-114.3789492,1271.37,6,19.5,1.4,5,GPS Schedule
2021-05-27 6:35:11 PM,51.3431541,-114.3788624,1259.01,10,20.0,1.2,5,GPS Schedule
2021-05-27 6:40:25 PM,51.3431350,-114.3789229,1245.35,23,21.0,1.2,5,GPS Schedule
2021-05-27 6:45:19 PM,51.3433636,-114.3789586,1287.75,17,21.5,1.2,5,GPS Schedule
2021-05-27 6:50:18 PM,51.3431081,-114.3790209,1302.80,16,22.5,1.4,5,GPS Schedule
2021-05-27 6:55:07 PM,51.3430829,-114.3789433,1260.23,5,22.0,1.4,5,GPS Schedule
2021-05-27 7:00:11 PM,51.3429194,-114.3787701,1256.85,9,21.0,1.4,5,GPS Schedule
2021-05-27 7:05:17 PM,51.3429829,-114.3787558,1261.44,15,21.5,1.6,5,GPS Schedule
2021-05-27 7:10:05 PM,51.3427603,-114.3784699,1258.21,4,21.5,11.6,4,GPS Schedule
2021-05-27 7:16:10 PM,51.3429775,-114.3788401,1263.20,68,21.5,4.6,5,GPS Schedule
2021-05-27 7:20:06 PM,51.3430544,-114.3791628,1241.00,5,21.5,4.8,5,GPS Schedule
2021-05-27 7:26:10 PM,0.0000000,0.0000000,0.00,70,21.5,0,0,GPS Schedule
2021-05-27 7:31:10 PM,51.3596181,-114.3308133,0.24,70,21.0,16.8,3,GPS Schedule
2021-05-27 7:36:10 PM,51.3623110,-114.3268653,0.15,70,21.0,18.6,3,GPS Schedule
2021-05-27 7:41:10 PM,51.3648926,-114.3240531,-0.28,70,21.0,22,3,GPS Schedule
2021-05-27 7:46:10 PM,0.0000000,0.0000000,0.00,70,21.0,0,0,GPS Schedule
2021-05-27 7:51:10 PM,0.0000000,0.0000000,0.00,70,21.5,0,0,GPS Schedule
2021-05-27 7:56:10 PM,0.0000000,0.0000000,0.00,70,21.0,0,0,GPS Schedule
2021-05-27 8:01:10 PM,0.0000000,0.0000000,0.00,70,20.5,0,0,GPS Schedule
2021-05-27 8:06:11 PM,51.3430076,-114.3788626,1257.97,70,20.0,3.2,4,GPS Schedule
2021-05-27 8:11:07 PM,51.3430716,-114.3788804,1262.51,70,20.0,3.2,4,GPS Schedule
2021-05-27 8:16:10 PM,51.3430387,-114.3788710,1268.00,70,20.5,3.2,4,GPS Schedule
2021-05-27 8:21:00 PM,51.3429798,-114.3791034,1225.86,59,21.0,2.6,5,GPS Schedule
2021-05-27 8:25:03 PM,51.3425987,-114.3781797,1307.17,2,21.0,4.6,4,GPS Schedule
2021-05-27 8:31:10 PM,51.3428181,-114.3789175,1260.75,70,21.5,2.4,4,GPS Schedule
2021-05-27 8:36:10 PM,0.0000000,0.0000000,0.00,70,22.0,0,0,GPS Schedule
2021-05-27 8:41:10 PM,51.3540520,-114.3968066,-0.14,70,22.0,7,3,GPS Schedule
2021-05-27 8:46:10 PM,51.3428286,-114.3759163,-0.28,70,22.0,3.2,3,GPS Schedule
2021-05-27 8:51:10 PM,51.3428330,-114.3788781,1241.50,70,21.5,5.8,4,GPS Schedule
2021-05-27 8:56:10 PM,0.0000000,0.0000000,0.00,70,21.5,0,0,GPS Schedule
2021-05-27 9:01:10 PM,0.0000000,0.0000000,0.00,70,22.0,0,0,GPS Schedule
2021-05-27 9:06:10 PM,0.0000000,0.0000000,0.00,70,22.0,0,0,GPS Schedule
2021-05-27 9:11:10 PM,0.0000000,0.0000000,0.00,70,22.0,0,0,GPS Schedule
2021-05-27 9:16:10 PM,0.0000000,0.0000000,0.00,70,21.5,0,0,GPS Schedule
2021-05-27 9:21:10 PM,0.0000000,0.0000000,0.00,70,20.5,0,0,GPS Schedule
2021-05-27 9:26:10 PM,0.0000000,0.0000000,0.00,70,20.5,0,0,GPS Schedule
2021-05-27 9:31:10 PM,51.3582686,-114.3816951,-0.08,70,20.0,9.4,3,GPS Schedule
2021-05-27 9:36:10 PM,51.3578791,-114.3462989,0.00,70,21.5,17.8,3,GPS Schedule
2021-05-27 9:41:10 PM,0.0000000,0.0000000,0.00,70,21.5,0,0,GPS Schedule
2021-05-27 9:46:10 PM,0.0000000,0.0000000,0.00,70,22.0,0,0,GPS Schedule
2021-05-27 9:51:03 PM,51.3430158,-114.3789647,1257.24,62,22.0,3.4,5,GPS Schedule
2021-05-27 9:55:07 PM,51.3429505,-114.3788675,1264.33,6,21.5,3.2,5,GPS Schedule
2021-05-27 10:01:10 PM,51.3518494,-114.3777669,-0.09,70,22.5,5,3,GPS Schedule
2021-05-27 10:06:10 PM,0.0000000,0.0000000,0.00,70,23.0,0,0,GPS Schedule
2021-05-27 10:11:10 PM,51.3429894,-114.3788875,1253.19,70,23.5,2.8,4,GPS Schedule
2021-05-27 10:16:10 PM,0.0000000,0.0000000,0.00,70,24.0,0,0,GPS Schedule
2021-05-27 10:21:10 PM,0.0000000,0.0000000,0.00,70,25.0,0,0,GPS Schedule
2021-05-27 10:26:10 PM,51.3429420,-114.3789910,1267.65,70,25.0,5.4,4,GPS Schedule
2021-05-27 10:31:10 PM,0.0000000,0.0000000,0.00,70,26.0,0,0,GPS Schedule
2021-05-27 10:36:10 PM,0.0000000,0.0000000,0.00,70,26.5,0,0,GPS Schedule
2021-05-27 10:41:10 PM,0.0000000,0.0000000,0.00,70,27.0,0,0,GPS Schedule
2021-05-27 10:46:10 PM,0.0000000,0.0000000,0.00,70,26.5,0,0,GPS Schedule
2021-05-27 10:51:10 PM,0.0000000,0.0000000,0.00,70,25.0,0,0,GPS Schedule
2021-05-27 10:56:10 PM,0.0000000,0.0000000,0.00,70,24.0,0,0,GPS Schedule
2021-05-27 11:01:10 PM,0.0000000,0.0000000,0.00,70,24.5,0,0,GPS Schedule
2021-05-27 11:06:10 PM,0.0000000,0.0000000,0.00,70,24.0,0,0,GPS Schedule
2021-05-27 11:11:10 PM,0.0000000,0.0000000,0.00,70,23.0,0,0,GPS Schedule
2021-05-27 11:16:10 PM,0.0000000,0.0000000,0.00,70,22.5,0,0,GPS Schedule
2021-05-27 11:21:10 PM,0.0000000,0.0000000,0.00,70,22.5,0,0,GPS Schedule
2021-05-27 11:26:11 PM,51.3411843,-114.3779814,1000.23,70,22.5,5.6,4,GPS Schedule
2021-05-27 11:31:07 PM,51.3378153,-114.3752563,0.27,70,23.0,3.8,3,GPS Schedule
2021-05-27 11:36:10 PM,0.0000000,0.0000000,0.00,70,23.5,0,0,GPS Schedule
2021-05-27 11:41:10 PM,0.0000000,0.0000000,0.00,70,23.0,0,0,GPS Schedule
2021-05-27 11:46:11 PM,51.3540766,-114.3208035,0.24,70,22.5,16.6,3,GPS Schedule
2021-05-27 11:51:10 PM,0.0000000,0.0000000,0.00,70,22.0,0,0,GPS Schedule
2021-05-27 11:56:10 PM,0.0000000,0.0000000,0.00,70,22.5,0,0,GPS Schedule
2021-05-28 12:01:03 AM,51.3430224,-114.3788079,1250.24,70,23.0,4.2,4,GPS Schedule
2021-05-28 12:06:10 AM,0.0000000,0.0000000,0.00,70,23.0,0,0,GPS Schedule
2021-05-28 12:11:10 AM,0.0000000,0.0000000,0.00,70,23.0,0,0,GPS Schedule
2021-05-28 12:16:10 AM,0.0000000,0.0000000,0.00,70,23.0,0,0,GPS Schedule
2021-05-28 12:21:10 AM,0.0000000,0.0000000,0.00,70,23.0,0,0,GPS Schedule
2021-05-28 12:26:10 AM,0.0000000,0.0000000,0.00,70,23.0,0,0,GPS Schedule
2021-05-28 12:31:10 AM,0.0000000,0.0000000,0.00,70,23.0,0,0,GPS Schedule
2021-05-28 12:36:10 AM,0.0000000,0.0000000,0.00,70,23.5,0,0,GPS Schedule
2021-05-28 12:41:06 AM,51.3430003,-114.3790027,1253.49,65,24.0,3.6,5,GPS Schedule
2021-05-28 12:45:05 AM,51.3430080,-114.3789055,1270.74,4,23.5,3.8,5,GPS Schedule
2021-05-28 12:51:10 AM,0.0000000,0.0000000,0.00,70,24.0,0,0,GPS Schedule
2021-05-28 12:56:10 AM,0.0000000,0.0000000,0.00,70,24.0,0,0,GPS Schedule
2021-05-28 1:01:10 AM,0.0000000,0.0000000,0.00,70,24.0,0,0,GPS Schedule
2021-05-28 1:06:10 AM,0.0000000,0.0000000,0.00,70,24.0,0,0,GPS Schedule
